Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%
Brock Boeser,25,VAN,RW,25,5,12,17,-15,10,0.8,2,3,0,1,9,3,0,59,8.5,406,16:14,12,15,4,13,23.5
Zach Bogosian,32,TBL,D,10,0,0,0,-4,4,-0.2,0,0,0,0,0,0,0,7,0.0,138,13:51,6,38,0,0,
Matt Boldy,21,MIN,LW,33,12,14,26,3,12,2.8,7,5,0,3,5,9,0,97,12.4,592,17:57,11,28,33,21,61.1
Nick Bonino,34,SJS,C,32,4,5,9,-6,10,0.2,4,0,0,0,4,1,0,42,9.5,515,16:06,49,9,155,158,49.5
Adam Boqvist,22,CBJ,D,5,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,5,0.0,84,16:47,5,4,0,0,
Jesper Boqvist,24,NJD,C,28,3,1,4,-3,0,0.1,3,0,0,2,1,0,0,26,11.5,288,10:18,7,14,36,60,37.5
William Borgen,26,SEA,D,32,2,8,10,5,19,1.6,2,0,0,1,8,0,0,28,7.1,498,15:34,40,84,0,0,
Mark Borowiecki,33,NSH,D,4,0,0,0,0,12,0.1,0,0,0,0,0,0,0,1,0.0,40,9:56,1,5,0,0,
Robert Bortuzzo,33,STL,D,24,0,0,0,0,23,0.2,0,0,0,0,0,0,0,15,0.0,291,12:08,22,35,0,0,
Evan Bouchard,23,EDM,D,35,3,11,14,-12,12,1.0,3,0,0,0,7,3,1,77,3.9,644,18:24,35,52,0,0,

Shane Bowers,23,COL,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,2,1:46,0,0,0,2,0.0
Travis Boyd,29,ARI,C,32,3,10,13,-13,12,0.1,2,1,0,1,6,4,0,39,7.7,562,17:35,21,13,225,254,47.0
Erik Brannstrom,23,OTT,D,32,0,3,3,-1,18,0.9,0,0,0,0,3,0,0,33,0.0,506,15:49,56,22,0,0,
Derick Brassard,35,OTT,C,24,4,4,8,1,14,0.8,4,0,0,1,1,3,0,41,9.8,338,14:04,5,40,117,107,52.2
Jesper Bratt,24,NJD,W,34,12,21,33,13,4,3.9,7,5,0,2,13,8,0,89,13.5,596,17:32,11,12,0,0,
